id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
401230753,s:40~l:59~e:401230753~c:401230753,2020-07-31T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-31T23:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,84,TRUE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,78,FALSE,401230753,2020,2,"",TRUE,2020-07-31T23:00:00Z,2020-07-31,TRUE,TRUE
401230472,s:40~l:59~e:401230472~c:401230472,2020-07-31T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-31T02:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,81,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,76,FALSE,401230472,2020,2,"",TRUE,2020-07-31T02:00:00Z,2020-07-30,TRUE,TRUE
401230471,s:40~l:59~e:401230471~c:401230471,2020-07-31T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-31T00:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,83,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,81,FALSE,401230471,2020,2,"",TRUE,2020-07-31T00:00:00Z,2020-07-30,TRUE,TRUE
401230470,s:40~l:59~e:401230470~c:401230470,2020-07-30T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-30T22:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,89,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,71,FALSE,401230470,2020,2,"",TRUE,2020-07-30T22:00:00Z,2020-07-30,TRUE,TRUE
401230469,s:40~l:59~e:401230469~c:401230469,2020-07-30T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-30T02:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,TRUE,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,100,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,70,FALSE,401230469,2020,2,"",TRUE,2020-07-30T02:00:00Z,2020-07-29,TRUE,TRUE
401230468,s:40~l:59~e:401230468~c:401230468,2020-07-30T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-30T00:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,93,TRUE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,80,FALSE,401230468,2020,2,"",TRUE,2020-07-30T00:00:00Z,2020-07-29,TRUE,TRUE
401230467,s:40~l:59~e:401230467~c:401230467,2020-07-29T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-29T23:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,106,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,100,FALSE,401230467,2020,2,"",TRUE,2020-07-29T23:00:00Z,2020-07-29,TRUE,TRUE
401230466,s:40~l:59~e:401230466~c:401230466,2020-07-29T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-29T02:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,90,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,66,FALSE,401230466,2020,2,"",TRUE,2020-07-29T02:00:00Z,2020-07-28,TRUE,TRUE
401230465,s:40~l:59~e:401230465~c:401230465,2020-07-29T01:00Z,203,TRUE,FALSE,FALSE,FALSE,2020-07-29T01:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,96,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,78,FALSE,401230465,2020,2,"",TRUE,2020-07-29T01:00:00Z,2020-07-28,TRUE,TRUE
401230464,s:40~l:59~e:401230464~c:401230464,2020-07-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-28T23:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,89,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,94,TRUE,401230464,2020,2,"",TRUE,2020-07-28T23:00:00Z,2020-07-28,TRUE,TRUE
401230463,s:40~l:59~e:401230463~c:401230463,2020-07-26T21:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-26T21:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,105,TRUE,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,95,FALSE,401230463,2020,2,"",TRUE,2020-07-26T21:00:00Z,2020-07-26,TRUE,TRUE
401230462,s:40~l:59~e:401230462~c:401230462,2020-07-26T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-26T19:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,TRUE,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,86,FALSE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,88,TRUE,401230462,2020,2,"",TRUE,2020-07-26T19:00:00Z,2020-07-26,TRUE,TRUE
401230461,s:40~l:59~e:401230461~c:401230461,2020-07-26T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-26T16:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,77,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,69,FALSE,401230461,2020,2,"",TRUE,2020-07-26T16:00:00Z,2020-07-26,TRUE,TRUE
401230735,s:40~l:59~e:401230735~c:401230735,2020-07-25T21:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-25T21:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,101,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,76,FALSE,401230735,2020,2,"",TRUE,2020-07-25T21:00:00Z,2020-07-25,TRUE,TRUE
401230734,s:40~l:59~e:401230734~c:401230734,2020-07-25T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-25T19:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,76,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,99,TRUE,401230734,2020,2,"",TRUE,2020-07-25T19:00:00Z,2020-07-25,TRUE,TRUE
401230733,s:40~l:59~e:401230733~c:401230733,2020-07-25T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2020-07-25T16:00Z,"","",1,STD,7097,IMG Academy,Bradenton,FL,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,71,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,87,TRUE,401230733,2020,2,"",TRUE,2020-07-25T16:00:00Z,2020-07-25,TRUE,TRUE
